Orbit Semi-Major Axis,Planet Radius,Planet Mass,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Luminosity,Distance
1.29,,,,4742,19,2.7,2.243,93.1846
1.21,,,,,,2.6,,93.1846
1.54,,,,4340,24.08,1.8,,125.321
1.51,,,,,,1.7,,125.321
1.53,,,,4213,29.79,2.78,,125.321
0.68,,,,,,1.2,,75.4392
0.83,,,,4813,11,2.2,1.763,75.4392
2.73,,,,,,0.9,,17.9323
2.82,,,,,,1,,17.9323
2.77,,,,,,,,17.9323
2.8,,,,5255,,0.9,-0.15,17.9323
2.864,,,,5280,1,0.91,-0.153,17.9323
2.93,,,,5338,0.93,0.9,,17.9323
1.681,,,,5674,,0.99,,21.1397
1.6,,,,5760,,1,,21.1397
1.68,,,,5747,1.13,1.03,0.097,21.1397
1.66,,,,5750,1.13,1.08,,21.1397
1.68,,,,,,,,21.1397
2.54,,,,,,2.1,,76.222
2.6,,,,4979,8.5,2.3,1.602,76.222
330,18.647,2543,1800,4060,1.35,0.85,,139.135
330,,3000,1700,4060,,0.85,-0.37,139.135
330,,3000,1800,3993,1.31,0.62,-0.403,139.135
330,,4000,1700,4060,,0.85,-0.37,139.135
0.19,,,,4893,10.64,0.99,1.774,95.9863
1.333,,,,5098,4.9,1.54,1.164,72.0691
2.08,,,,5098,4.9,1.54,1.164,72.0691
84,,4131.79,,,,0.19,,
,11.209,,1600,3309,0.37,0.35,-1.838,33.8281
52,,7786.5,,3530,,0.4,-1.72,33.8281
156,16.141,4417.837,,3064,0.28,0.11,-2.23,
15,,2383.6,,,,0.02,,
55,,1589.15,1250,,,0.02,,64.308
46,,1271,1150,2825,0.22,0.19,-2.561,64.308
0.92,,603.877,,,,0.48,,396.332
,10.31,6657.48,2075,2300,0.12,0.08,-3.48,
230,,3972.875,,4045,,0.6,,69.5737
0.99,,,,6331,1.41,1.93,,44.657
0.995,,,,6300,1.13,1.16,,44.657
1.01,,,,,1.13,1.16,,44.657
0.87,,,,4415,18.11,1.23,,73.4603
1.19,,,,4200,22.03,0.98,,90.6545
2.1,,,,5872,1.21,1.06,0.198,13.7967
2.11,,,,,,,,13.7967
2.11,,,,,,,,13.7967
2.1,,,,5882,,1.06,,13.7967
7.73,,,,,,,,13.7967
3.6,,,,5872,1.21,1.06,0.198,13.7967
11.6,,,,5872,1.21,1.06,0.198,13.7967
