#   Phase              Relative Intensity
    -0.036189668      0.99861136
    -0.036069578      0.99895899
    -0.035949451       1.0005725
    -0.035829134      0.99923093
    -0.035709006       1.0000167
    -0.035590013      0.99965461
    -0.035469998      0.99986747
    -0.035349757      0.99942860
    -0.035229629       1.0007537
    -0.035109615       1.0005744
    -0.034989373       1.0009281
    -0.034869283      0.99942646
    -0.034750290      0.99902556
    -0.034629898      0.99905781
    -0.034509505      0.99983609
    -0.034389831      0.99997818
    -0.034269552      0.99884222
    -0.034150559       1.0003407
    -0.034030128      0.99979194
    -0.033909887       1.0002856
    -0.033789532       1.0007154
    -0.033670766       1.0006889
    -0.033550638      0.99996089
    -0.033430397       1.0001384
    -0.033310156      0.99906410
    -0.033190406       1.0005999
    -0.033070467      0.99990317
    -0.032950302       1.0018103
    -0.032830174      0.99962609
    -0.032711181      0.99999499
    -0.032591280      0.99946734
    -0.032471228      0.99993778
    -0.032351024      0.99949553
    -0.032230821      0.99903412
    -0.032110428       1.0007790
    -0.031991511      0.99999933
    -0.031871496      0.99979497
    -0.031751179       1.0001265
    -0.031630711      0.99935657
    -0.031511756       1.0002659
    -0.031391703       1.0008956
    -0.031271651       1.0006863
    -0.031151334       1.0009417
    -0.031030979       1.0003386
    -0.030911986       1.0004449
    -0.030792048       1.0004102
    -0.030671995       1.0001108
    -0.030551565      0.99987173
    -0.030431286       1.0003378
    -0.030311234      0.99986987
    -0.030192316       1.0000581
    -0.030072264      0.99992220
    -0.029952212      0.99860576
    -0.029831857       1.0006196
    -0.029711464      0.99999278
    -0.029592433      0.99966329
    -0.029472419      0.99926463
    -0.029352216      0.99943808
    -0.029231974       1.0009715
    -0.029111733      0.99944763
    -0.028992740      0.99990688
    -0.028872385      0.99986887
    -0.028752371       1.0001538
    -0.028631978       1.0004453
    -0.028513061       1.0000694
    -0.028392970       1.0004754
    -0.028272918      0.99989202
    -0.028152526      0.99901153
    -0.028032171       1.0005367
    -0.027913216       1.0000674
    -0.027793239      0.99977855
    -0.027673225      0.99986373
