Date:,Title:,Year:,Director:,Rating: ,,,
3/29/18,Chicago,2002,Rob Marshall,1.5,,,
3/29/18,There Will Be Blood,2007,Paul Thomas Anderson,5,,,
4/3/18,Inception,2010,Christopher Nolan,4,,,
4/4/18,Slumdog Millionaire,2008,Danny Boyle,3,,,
4/5/18,No Country For Old Men,2007,"Ethan Coen, Joel Coen",3.5,,,
4/6/18,A Beautiful Mind,2001,Ron Howard,3.5,,,
4/6/18,The Shawshank Redemption,1994,Frank Darabont,4.5,,,
4/8/18,The Wolf of Wall Street,2013,Martin Scorsese,3.5,,,
4/14/18,Whiplash,2014,Damien Chazelle,2.5,,,
4/21/18,Walk Hard: The Dewey Cox Story,2007,Jake Kasdan,3.5,,,
5/18/18,The Matrix,1999,"Lilly Wachowski, Lana Wachowski",3,,,
5/21/18,Back to the Future,1985,Robert Zemeckis,3.5,,,
5/23/18,Chinatown,1974,Roman Polanski,4,,,
5/25/18,Good Will Hunting,1997,Gus Van Sant,2.5,,,
5/28/18,12 Years a Slave,2013,Steve McQueen,4.5,,,
5/31/18,Fight Club,1999,David Fincher,2,,,
6/4/18,Lincoln,2012,Steven Spielberg,2.5,,,
6/12/18,The Silence of the Lambs,1991,Jonathan Demme,3.5,,,
6/13/18,Pi,1998,Darren Aronofsky,3.5,,,
6/15/18,Seven Samurai,1954,Akira Kurosawa,4,,,
6/16/18,Friday the 13th,1980,Sean S. Cunningham,1.5,,,
6/18/18,Dunkirk,2017,Christopher Nolan,4,,,
6/21/18,Brokeback Mountain,2005,Ang Lee,4,,,
6/22/18,Atonement,2007,Joe Wright,3,,,
6/22/18,Platoon,1986,Oliver Stone,4,,,
6/23/18,The Green Mile,1999,Frank Darabont,4,,,
6/28/18,Casablanca,1942,Michael Curtiz,3.5,,,
6/29/18,Little Miss Sunshine,2006,"Valerie Faris, Jonathan Dayton",4,,,
6/30/18,Apocalypse Now,1979,Francis Ford Coppola,4.5,,,
7/2/18,Gladiator,2000,Ridley Scott,3.5,,,
7/3/18,Alien,1979,Ridley Scott,4,,,
7/7/18,Aliens,1986,James Cameron,4.5,,,
7/8/18,The Assassination of Jesse James By the Coward Robert Ford,2007,Andrew Dominik,3,,,
7/9/18,How to Train Your Dragon,2010,"Dean DeBlois, Chris Sanders",2.5,,,
7/14/18,West Side Story,1961,"Jerome Robbins, Robert Wise",1.5,,,
7/15/18,Avatar,2009,James Cameron,2.5,,,
7/16/18,Back to the Future Part II,1989,Robert Zemeckis,2.5,,,
7/18/18,Being John Malkovich,1999,Spike Jonze,3.5,,,
7/19/18,Crazy Heart,2009,Scott Cooper,3,,,
7/20/18,The Wizard of Oz,1939,Victor Fleming,2.5,,,
7/20/18,It,2017,Andres Muschietti,4,,,
7/21/18,Logan,2017,James Mangold,3,,,
7/22/18,Lady Bird,2017,Greta Gerwig,3,,,
7/23/18,Blue Velvet,1986,David Lynch,3,,,
7/25/18,The Florida Project,2017,Sean Baker,3,,,
